name,genre,length,score,country,year,budget
Deadly Friend,DRAMA,91.0,5.5,USA,1986,0
About Last Night...,COMEDY,113.0,6.2,USA,1986,0
Soul Man,COMEDY,104.0,5.2,USA,1986,0
Savage Steve Holland,COMEDY,93.0,6.4,FILMS,Savage Steve Holland,0
Trick Or Treat,COMEDY,98.0,5.8,USA,1986,0
Gung Ho,COMEDY,112.0,6.2,USA,1986,18000000
The Morning After,CRIME,103.0,6.0,USA,1986,0
Police Academy 3: Back In Training,COMEDY,83.0,5.2,USA,1986,0
She's Gotta Have It,COMEDY,84.0,6.6,Unknown,1986,175000
Ruthless People,COMEDY,93.0,6.9,USA,1986,0
Band Of The Hand,ACTION,109.0,6.3,USA,1986,8700000
52 Pick-up,CRIME,103.0,6.4,USA,1986,0
Children Of A Lesser God,DRAMA,119.0,7.2,USA,1986,0
Armed And Dangerous,ACTION,88.0,5.6,USA,1986,12000000
Down By Law,COMEDY,107.0,7.8,USA,1986,1100000
F/x,ACTION,109.0,6.7,USA,1986,10000000
The Adventures Of Milo And Otis,ADVENTURE,90.0,7.1,JAPAN,1986,0
Something Wild,COMEDY,114.0,6.9,Unknown,1986,0
The Manhattan Project,SCI-FI,117.0,6.1,USA,1986,18000000
April Fool's Day,HORROR,89.0,6.2,USA,1986,5000000
Solarbabies,ACTION,94.0,4.8,USA,1986,25000000
The Big Easy,COMEDY,102.0,6.0,USA,1986,0
Jumpin' Jack Flash,COMEDY,105.0,5.8,USA,1986,0
Piratas,ADVENTURE,121.0,6.1,FRANCE,1986,40000000
When The Wind Blows,ANIMATION,80.0,7.8,UK,1986,0
Tough Guys,COMEDY,104.0,6.2,USA,1986,10000000
Matador,DRAMA,110.0,7.0,SPAIN,1986,0
Black Moon Rising,ACTION,100.0,5.4,USA,1986,0
The Best Of Times,COMEDY,104.0,5.9,USA,1986,12000000
Witchboard,HORROR,98.0,5.7,Unknown,1986,2000000
The Men's Club,COMEDY,101.0,4.5,USA,1986,0
