,Name,Genre,Length,Score,Country,Year,Budget
48,Running Scared,Action,107.0,6.5,USA,1986.0,0.00
49,Wildcats,Comedy,106.0,5.9,USA,1986.0,0.00
50,Henry: Portrait of a Serial Killer,Biography,83.0,7.0,USA,1986.0,111.000.00
51,SpaceCamp,Adventure,107.0,5.6,USA,1986.0,18.000.000.00
52,Hannah and Her Sisters,Comedy,107.0,8.0,USA,1986.0,6.400.000.00
53,The Great Mouse Detective,Animation,74.0,7.2,USA,1986.0,14.000.000.00
54,Raw Deal,Action,106.0,5.5,USA,1986.0,8.500.000.00
55,The Transformers: The Movie,Animation,84.0,7.3,USA,1986.0,6.000.000.00
56,Rad,Drama,91.0,7.2,USA,1986.0,0.00
57,Night of the Creeps,Comedy,88.0,6.8,USA,1986.0,5.000.000.00
58,Invaders from Mars,Horror,100.0,5.5,USA,1986.0,12.000.000.00
59,Crossroads,Drama,99.0,7.1,USA,1986.0,0.00
60,Hoosiers,Drama,114.0,7.6,UK,1986.0,6.000.000.00
61,Sacrifice,Drama,149.0,8.1,Sweden,1986.0,0.00
62,At Close Range,Crime,111.0,7.0,USA,1986.0,6.500.000.00
63,Youngblood,Drama,110.0,6.1,USA,1986.0,0.00
64,Psicosis III,Horror,93.0,5.3,USA,1986.0,0.00
65,Heartburn,Comedy,108.0,6.1,USA,1986.0,20.000.000.00
66,The Clan of the Cave Bear,Adventure,98.0,5.3,USA,1986.0,15.000.000.00
67,The Delta Force,Action,125.0,5.6,USA,1986.0,12.000.000.00
68,Deadly Friend,Drama,91.0,5.5,USA,1986.0,0.00
69,About Last Night...,Comedy,113.0,6.2,USA,1986.0,0.00
70,Soul Man,Comedy,104.0,5.2,USA,1986.0,0.00
71,,,,,,,
72,Trick or Treat,Comedy,98.0,5.8,USA,1986.0,0.00
73,Gung Ho,Comedy,112.0,6.2,USA,1986.0,18.000.000.00
74,The Morning After,Crime,103.0,6.0,USA,1986.0,0.00
75,Police Academy 3: Back in Training,Comedy,83.0,5.2,USA,1986.0,0.00
76,She's Gotta Have It,Comedy,84.0,6.6,USA,1986.0,175.000.00
77,Ruthless People,Comedy,93.0,6.9,USA,1986.0,0.00
78,Band of the Hand,Action,109.0,6.3,USA,1986.0,8.700.000.00
79,52 Pick-Up,Crime,110.0,6.4,USA,1986.0,0.00
80,Children of a Lesser God,Drama,119.0,7.2,USA,1986.0,0.00
81,Armed and Dangerous,Action,88.0,5.6,USA,1986.0,12.000.000.00
82,Down by Law,Comedy,107.0,7.8,USA,1986.0,1.100.000.00
83,F/X,Action,109.0,6.7,USA,1986.0,10.000.000.00
84,The Adventures of Milo and Otis,Adventure,90.0,7.1,Japan,1986.0,0.00
85,Something Wild,Comedy,114.0,6.9,USA,1986.0,0.00
86,The Manhattan Project,Sci-Fi,117.0,6.1,USA,1986.0,18.000.000.00
87,April Fool's Day,Horror,89.0,6.2,USA,1986.0,5.000.000.00
88,Solarbabies,Action,94.0,4.8,USA,1986.0,25.000.000.00
89,The Big Easy,Comedy,102.0,6.6,USA,1986.0,0.00
90,Jumpin' Jack Flash,Comedy,105.0,5.8,USA,1986.0,0.00
91,Piratas,Adventure,121.0,6.1,France,1986.0,40.000.000.00
92,When the Wind Blows,Animation,80.0,7.8,UK,1986.0,0.00
93,Tough Guys,Comedy,104.0,6.2,USA,1986.0,10.000.000.00
94,Matador,Drama,110.0,7.0,Spain,1986.0,0.00
95,Black Moon Rising,Action,100.0,5.4,USA,1986.0,0.00
96,The Best of Times,Comedy,104.0,5.9,USA,1986.0,12.000.000.00
97,Witchboard,Horror,98.0,5.7,UK,1986.0,2.000.000.00
98,The Men's Club,Comedy,101.0,4.5,USA,1986.0,0.00
